2025-12-09 02:06:13,120 | app.main | INFO | Contract Analyzer API shutdown
2025-12-09 02:06:13,478 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 02:06:13,484 | app.main | INFO | Contract Analyzer API startup (v0.2.0)
2025-12-09 02:06:13,484 | app.main | INFO | Upload directory: /Users/luisschenk/contract-analyzer-backend/uploads
2025-12-09 02:06:13,484 | app.main | WARNING | ⚠️  DUMMY MODE ENABLED – Nutzt Mock-Responses statt echter API
2025-12-09 02:06:32,154 | app.main | INFO | Contract uploaded: 3e1a234d-9bd5-4050-a487-55f697f5ed62, filename: testvertrag.pdf
2025-12-09 02:06:32,175 | app.main | INFO | Text extracted for 3e1a234d-9bd5-4050-a487-55f697f5ed62, 2658 chars
2025-12-09 02:06:32,176 | app.logging_service | INFO | ✓ employment | demo-tenant-1 | 0ms | 1 risks | ? in / ? out tokens
2025-12-09 02:06:32,176 | app.main | INFO | Analysis completed: 3e1a234d-9bd5-4050-a487-55f697f5ed62 (employment), 0ms, 1 risk flags
2025-12-09 02:06:32,192 | app.main | INFO | Text extracted for 3e1a234d-9bd5-4050-a487-55f697f5ed62, 2658 chars
2025-12-09 02:06:32,193 | app.logging_service | INFO | ✓ saas | demo-tenant-1 | 0ms | 0 risks | ? in / ? out tokens
2025-12-09 02:06:32,193 | app.main | INFO | Analysis completed: 3e1a234d-9bd5-4050-a487-55f697f5ed62 (saas), 0ms, 0 risk flags
2025-12-09 02:09:00,783 | app.main | INFO | Contract uploaded: 4c864301-8e84-4b97-90e8-a9268c0a5e95, filename: testvertrag.pdf
2025-12-09 02:09:00,798 | app.main | INFO | Text extracted for 4c864301-8e84-4b97-90e8-a9268c0a5e95, 2658 chars
2025-12-09 02:09:00,799 | app.logging_service | INFO | ✓ employment | demo-tenant-1 | 0ms | 1 risks | ? in / ? out tokens
2025-12-09 02:09:00,799 | app.main | INFO | Analysis completed: 4c864301-8e84-4b97-90e8-a9268c0a5e95 (employment), 0ms, 1 risk flags
2025-12-09 02:09:00,813 | app.main | INFO | Text extracted for 4c864301-8e84-4b97-90e8-a9268c0a5e95, 2658 chars
2025-12-09 02:09:00,814 | app.logging_service | INFO | ✓ saas | demo-tenant-1 | 0ms | 0 risks | ? in / ? out tokens
2025-12-09 02:09:00,814 | app.main | INFO | Analysis completed: 4c864301-8e84-4b97-90e8-a9268c0a5e95 (saas), 0ms, 0 risk flags
2025-12-09 02:10:15,194 | app.main | INFO | Contract uploaded: 9e907b1b-5ddb-4e11-904e-ac079b292f50, filename: testvertrag.pdf
2025-12-09 02:10:15,201 | app.main | INFO | Text extracted for 9e907b1b-5ddb-4e11-904e-ac079b292f50, 2658 chars
2025-12-09 02:10:15,203 | app.logging_service | INFO | ✓ employment | demo-tenant-1 | 0ms | 1 risks | ? in / ? out tokens
2025-12-09 02:10:15,203 | app.main | INFO | Analysis completed: 9e907b1b-5ddb-4e11-904e-ac079b292f50 (employment), 0ms, 1 risk flags
2025-12-09 02:10:48,494 | app.main | INFO | Contract uploaded: f1ab14d9-ed89-4c02-854b-d2f3b055b2a3, filename: testvertrag.pdf
2025-12-09 02:10:48,504 | app.main | INFO | Text extracted for f1ab14d9-ed89-4c02-854b-d2f3b055b2a3, 2658 chars
2025-12-09 02:10:48,506 | app.logging_service | INFO | ✓ saas | demo-tenant-1 | 0ms | 0 risks | ? in / ? out tokens
2025-12-09 02:10:48,507 | app.main | INFO | Analysis completed: f1ab14d9-ed89-4c02-854b-d2f3b055b2a3 (saas), 0ms, 0 risk flags
2025-12-09 02:12:20,559 | app.main | INFO | Contract uploaded: 1be36e38-1ada-49dc-8676-b324b72fce50, filename: testvertrag.pdf
2025-12-09 02:12:20,568 | app.main | INFO | Text extracted for 1be36e38-1ada-49dc-8676-b324b72fce50, 2658 chars
2025-12-09 02:12:20,570 | app.logging_service | INFO | ✓ employment | demo-tenant-1 | 0ms | 1 risks | ? in / ? out tokens
2025-12-09 02:12:20,570 | app.main | INFO | Analysis completed: 1be36e38-1ada-49dc-8676-b324b72fce50 (employment), 0ms, 1 risk flags
2025-12-09 02:13:13,286 | app.main | INFO | Contract Analyzer API shutdown
2025-12-09 02:13:13,654 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 02:14:55,055 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 02:14:55,060 | app.main | INFO | Contract Analyzer API startup (v0.2.0)
2025-12-09 02:14:55,060 | app.main | INFO | Upload directory: /Users/luisschenk/contract-analyzer-backend/uploads
2025-12-09 02:14:55,060 | app.main | WARNING | ⚠️  DUMMY MODE ENABLED – Nutzt Mock-Responses statt echter API
2025-12-09 02:17:25,104 | app.main | INFO | Contract Analyzer API shutdown
2025-12-09 02:17:26,301 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 02:17:26,306 | app.main | INFO | Contract Analyzer API startup (v0.2.0)
2025-12-09 02:17:26,306 | app.main | INFO | Upload directory: /Users/luisschenk/contract-analyzer-backend/uploads
2025-12-09 02:17:26,306 | app.main | INFO | ✓ OPENAI_API_KEY configured
2025-12-09 02:17:32,675 | app.main | INFO | Contract Analyzer API shutdown
2025-12-09 02:17:34,125 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 02:17:34,131 | app.main | INFO | Contract Analyzer API startup (v0.2.0)
